team,team_name,promoted_side,top_6_last_season,season
1,Arsenal,0,1,2016-17
2,Bournemouth,0,0,2016-17
3,Burnley,1,0,2016-17
4,Chelsea,0,0,2016-17
5,Crystal Palace,0,0,2016-17
6,Everton,0,0,2016-17
7,Hull City,1,0,2016-17
8,Leicester City,0,1,2016-17
9,Liverpool,0,0,2016-17
10,Manchester City,0,1,2016-17
11,Manchester United,0,1,2016-17
12,Middlesbrough,1,0,2016-17
13,Southampton,0,1,2016-17
14,Stoke City,0,0,2016-17
15,Sunderland,0,0,2016-17
16,Swansea City,0,0,2016-17
17,Tottenham Hotspur,0,1,2016-17
18,Watford,0,0,2016-17
19,West Bromwich Albion,0,0,2016-17
20,West Ham United,0,0,2016-17
1,Arsenal,0,1,2017-18
2,Bournemouth,0,0,2017-18
3,Brighton & Hove Albion,1,0,2017-18
4,Burnley,0,0,2017-18
5,Chelsea,0,1,2017-18
6,Crystal Palace,0,0,2017-18
7,Everton,0,0,2017-18
8,Huddersfield Town,1,0,2017-18
9,Leicester City,0,0,2017-18
10,Liverpool,0,1,2017-18
11,Manchester City,0,1,2017-18
12,Manchester United,0,1,2017-18
13,Newcastle United,1,0,2017-18
14,Southampton,0,0,2017-18
15,Stoke City,0,0,2017-18
16,Swansea City,0,0,2017-18
17,Tottenham Hotspur,0,1,2017-18
18,Watford,0,0,2017-18
19,West Bromwich Albion,0,0,2017-18
20,West Ham United,0,0,2017-18
1,Arsenal,0,1,2018-19
2,Bournemouth,0,0,2018-19
3,Brighton & Hove Albion,0,0,2018-19
4,Burnley,0,0,2018-19
5,Cardiff City,1,0,2018-19
6,Chelsea,0,1,2018-19
7,Crystal Palace,0,0,2018-19
8,Everton,0,0,2018-19
9,Fulham,1,0,2018-19
10,Huddersfield Town,0,0,2018-19
11,Leicester City,0,0,2018-19
12,Liverpool,0,1,2018-19
13,Manchester City,0,1,2018-19
14,Manchester United,0,1,2018-19
15,Newcastle United,0,0,2018-19
16,Southampton,0,0,2018-19
17,Tottenham Hotspur,0,1,2018-19
18,Watford,0,0,2018-19
19,West Ham United,0,0,2018-19
20,Wolverhampton Wanderers,1,0,2018-19
1,Arsenal,0,1,2019-20
2,Aston Villa,1,0,2019-20
3,Bournemouth,0,0,2019-20
4,Brighton & Hove Albion,0,0,2019-20
5,Burnley,0,0,2019-20
6,Chelsea,0,1,2019-20
7,Crystal Palace,0,0,2019-20
8,Everton,0,0,2019-20
9,Leicester City,0,0,2019-20
10,Liverpool,0,1,2019-20
11,Manchester City,0,1,2019-20
12,Manchester United,0,1,2019-20
13,Newcastle United,0,0,2019-20
14,Norwich City,1,0,2019-20
15,Sheffield United,1,0,2019-20
16,Southampton,0,0,2019-20
17,Tottenham Hotspur,0,1,2019-20
18,Watford,0,0,2019-20
19,West Ham United,0,0,2019-20
20,Wolverhampton Wanderers,0,0,2019-20